prefix,middle,suffix,completion
"import { Size } from '@/shared/model/common'

import { Input, InputError, InputLabel, InputWrapper, Span } from './InputRadio.styled'

interface InputRadioProps {
  id: string
  name: string
  label: string
  value?: string
  required?: boolean
  isChecked?: boolean
  disabled?: boolean
  size?: Size
  error?: string
  onChange: (value: string) => void
  onBlur?: () => void
}

const InputRadio = ({
  id,
  name,
  value,
  label,
  required = false,
  isChecked = false,
  disabled = false,
  size = 'md',
  error,
  onChange,
  onBlur,
}: InputRadioProps) => {
  const handleChange = () => {
    value && onChange(value)
  }

  const handleBlur = () => {
    onBlur?.()
  }

  return (
    <InputWrapper>
      <Input
        type='radio'
        id={id}
        name={name}
        value={value}
        checked={isChecked}
        onChange={handleChange}",        onBlur={handleBlur},"        disabled={disabled}
        $size={size}
      />
      <InputLabel
        htmlFor={id}
        $size={size}
      >
        <Span $size={size}>{label}</Span>
        {required && '*'}
      </InputLabel>
      <InputError>{error}</InputError>
    </InputWrapper>
  )
}

export default InputRadio
",onBlur={handleBlur}
"import { AsYouType } from 'libphonenumber-js'
import { ChangeEvent, useRef } from 'react'
import type { AriaTextFieldProps } from 'react-aria'
import { useTextField } from 'react-aria'

import { Size } from '@/shared/model/common'

import { Input, InputError, InputLabel, InputLabelFloat, InputWrapper } from './InputText.styled'

type InputType = 'text' | 'password' | 'email' | 'number' | 'tel'

interface InputTextProps extends AriaTextFieldProps {
  // eslint-disable-next-line @typescript-eslint/no-explicit-any
  onClick?: (e: any) => void
  error?: string
  size?: Size
  type?: InputType
  fullWidth?: boolean
  floatLabel?: boolean
}

const InputText = (props: InputTextProps) => {
  const ref = useRef(null)
  const { labelProps, inputProps } = useTextField(props, ref)

  const {
    id,
    label,
    type,
    onChange,
    size = 'md',
    fullWidth = false,
    isRequired = false,
    floatLabel = false,
    isDisabled = false,
    placeholder,
    error,
  } = props

  const handleChange = (event: ChangeEvent<HTMLInputElement>) => {
    if (type === 'tel') {
      const formattedPhoneNumber = new AsYouType().input(event.target.value)
      onChange?.(formattedPhoneNumber)
    } else {
      onChange?.(event.target.value)
    }
  }

  return (
    <InputWrapper
      $fullWidth={fullWidth}
      $floatLabel={floatLabel}
      $size={size}
    >
      {label && !floatLabel && (
        <InputLabel
          htmlFor={id}
          $size={size}
          {...labelProps}
        >
          {label}
          {isRequired && '*'}
        </InputLabel>
      )}
      <Input
        ref={ref}
        aria-labelledby={id}
        {...inputProps}
        placeholder={floatLabel ? '' : placeholder}
        onChange={handleChange}
        $disabled={isDisabled}
        $floatLabel={floatLabel}
        $size={size}
      />
      {label && floatLabel && (
        <InputLabelFloat
          htmlFor={id}
          $size={size}
        >
          {label}
          {isRequired && '*'}
        </InputLabelFloat>
      )}",      <InputError>{error}</InputError>,"    </InputWrapper>
  )
}

export default InputText
",<InputWrapper
"import { Link, useLocation } from '@tanstack/react-router'
import { AnimatePresence, Variants } from 'framer-motion'
import { useTranslation } from 'react-i18next'

import { useAuth } from '@/auth'
import useTheme from '@/shared/utils/useTheme'

import Switch from '../../switch/Switch'
import Tooltip from '../../tooltip/Tooltip'
import { MenuItem, MenuList, MenuWrapper } from './MenuElements'
import { useEffect } from 'react'

export interface IMenu {
  isOpen: boolean
  theme: 'light' | 'dark'
  setMenuOpen: (isOpen: boolean) => void
}

const menuVariants: Variants = {
  open: {
    opacity: 1,
    height: 180,
    transition: {
      type: 'spring',
      stiffness: 200,
      damping: 24,
      staggerChildren: 0.1,
    },
  },
  closed: {
    opacity: 0,
    height: 0,
    transition: {
      duration: 0.4,
      staggerChildren: 0.02,
      staggerDirection: -1,
    },
  },
}

const Menu = ({ isOpen, setMenuOpen }: IMenu) => {
  const { t } = useTranslation()
  const { theme: currentTheme, updateTheme } = useTheme()
  const { logout } = useAuth()
  const location = useLocation()

  const handleChangeTheme = (value: boolean) => {
    // eslint-disable-next-line sonarjs/no-all-duplicated-branches
    if (value) {
      updateTheme('light') //TODO change to dark after dar mode implementation
    } else {
      updateTheme('light')
    }
  }

  useEffect(() => {
    setMenuOpen(false)
  }, [location.pathname])

  return (
    <AnimatePresence>
      {isOpen && (
        <MenuWrapper
          variants={menuVariants}
          initial='closed'
          exit='closed'
          animate={isOpen ? 'open' : 'closed'}
        >
          <MenuList>
            <MenuItem>
              <Link
                to='/profile'
                onClick={() => setMenuOpen(false)}
              >
                {t('navbar.profile')}
              </Link>
            </MenuItem>
            <MenuItem>
              <Tooltip
                content={t('common.soon')}
                placement='left'
              >
                <Switch
                  value={currentTheme === 'dark'}
                  onChange={(value: boolean) => {
                    handleChangeTheme(value)
                  }}
                  label={t('navbar.darkMode')}
                  labelPosition='top'
                />
              </Tooltip>
            </MenuItem>
            <MenuItem
              onClick={() => {",                logout(),"                setMenuOpen(false)
              }}
            >
              {t('navbar.signOut')}
            </MenuItem>
          </MenuList>
        </MenuWrapper>
      )}
    </AnimatePresence>
  )
}

export default Menu
",}
"import { useTranslation } from 'react-i18next'

import Button from '@/shared/components/button/Button'

import sokarLogo from '../../../assets/sokar_logo.png'
import { ProductCardContent, ProductCardImage, ProductCardWrapper } from './productCardElements'

export interface IProductCard {
  name: string
  description: string
  price: number
  onCheckout: (productId: string) => Promise<void>
  index: number
}

export const ProductCard = ({ name, description, price, onCheckout, index }: IProductCard) => {
  const { t } = useTranslation()

  return (
    <ProductCardWrapper
      initial={{
        opacity: 0,
        x: index % 2 === 0 ? 50 : -50,
      }}
      whileInView={{
        opacity: 1,
        x: 0,
        transition: {
          duration: 0.6,
        },
      }}
      viewport={{ once: true }}
    >",      <ProductCardImage>,"        <img
          src={sokarLogo}
          alt='sokar logo'
        />
      </ProductCardImage>
      <ProductCardContent>
        <span className='product-card-text'>
          <h1>{name}</h1>
          <p>{description}</p>
        </span>
        <span className='product-card-footer'>
          <p>
            {t('products.price')}: {price}
          </p>
          <Button
            label={t('products.buy')}
            size='md'
            onClick={() => onCheckout(name)}
            animations={['tap', 'hover', 'gradient']}
          />
        </span>
      </ProductCardContent>
    </ProductCardWrapper>
  )
}
",>
"import { Link, useLocation } from '@tanstack/react-router'
import { AnimatePresence, Variants } from 'framer-motion'
import { useTranslation } from 'react-i18next'

import { useAuth } from '@/auth'
import useTheme from '@/shared/utils/useTheme'

import Switch from '../../switch/Switch'
import Tooltip from '../../tooltip/Tooltip'
import { MenuItem, MenuList, MenuWrapper } from './MenuElements'
import { useEffect } from 'react'

export interface IMenu {
  isOpen: boolean
  theme: 'light' | 'dark'
  setMenuOpen: (isOpen: boolean) => void
}

const menuVariants: Variants = {
  open: {
    opacity: 1,
    height: 180,
    transition: {
      type: 'spring',
      stiffness: 200,
      damping: 24,
      staggerChildren: 0.1,
    },
  },
  closed: {
    opacity: 0,
    height: 0,
    transition: {
      duration: 0.4,
      staggerChildren: 0.02,
      staggerDirection: -1,
    },
  },
}

const Menu = ({ isOpen, setMenuOpen }: IMenu) => {
  const { t } = useTranslation()
  const { theme: currentTheme, updateTheme } = useTheme()
  const { logout } = useAuth()
  const location = useLocation()

  const handleChangeTheme = (value: boolean) => {
    // eslint-disable-next-line sonarjs/no-all-duplicated-branches
    if (value) {
      updateTheme('light') //TODO change to dark after dar mode implementation
    } else {
      updateTheme('light')
    }
  }

  useEffect(() => {
    setMenuOpen(false)
  }, [location.pathname])

  return (
    <AnimatePresence>
      {isOpen && (
        <MenuWrapper
          variants={menuVariants}
          initial='closed'
          exit='closed'
          animate={isOpen ? 'open' : 'closed'}
        >
          <MenuList>
            <MenuItem>
              <Link
                to='/profile'
                onClick={() => setMenuOpen(false)}
              >
                {t('navbar.profile')}
              </Link>
            </MenuItem>
            <MenuItem>
              <Tooltip
                content={t('common.soon')}
                placement='left'
              >",                <Switch,"                  value={currentTheme === 'dark'}
                  onChange={(value: boolean) => {
                    handleChangeTheme(value)
                  }}
                  label={t('navbar.darkMode')}
                  labelPosition='top'
                />
              </Tooltip>
            </MenuItem>
            <MenuItem
              onClick={() => {
                logout()
                setMenuOpen(false)
              }}
            >
              {t('navbar.signOut')}
            </MenuItem>
          </MenuList>
        </MenuWrapper>
      )}
    </AnimatePresence>
  )
}

export default Menu
",{t('navbar.signOut')}
"import {
  arrow,
  flip,
  FloatingPortal,
  shift,
  useDismiss,
  useFloating,
  useFocus,
  useHover,
  useInteractions,
  useRole,
} from '@floating-ui/react'
import { useRef, useState } from 'react'

import { TooltipArrow, TooltipContent, TooltipWrapper } from './tooltipElements'

export interface ITooltip {
  children: JSX.Element[] | JSX.Element
  content: string
  placement?:
    | 'top'
    | 'right'
    | 'bottom'
    | 'left'
    | 'top-start'
    | 'top-end'
    | 'right-start'
    | 'right-end'
    | 'bottom-start'
    | 'bottom-end'
    | 'left-start'
    | 'left-end'
}

const Tooltip = ({ children, content, placement }: ITooltip) => {
  const arrowRef = useRef(null)
  const [isOpen, setIsOpen] = useState(false)

  const { refs, floatingStyles, context } = useFloating({
    open: isOpen,
    onOpenChange: setIsOpen,
    middleware: [
      arrow({
        element: arrowRef,
      }),
      flip(),
      shift(),
    ],
    placement,
  })

  const hover = useHover(context, {
    delay: {
      open: 200,
      close: 100,
    },
  })

  const role = useRole(context, {
    role: 'tooltip',
  })

  const focus = useFocus(context)

  const dismiss = useDismiss(context)

  const { getReferenceProps, getFloatingProps } = useInteractions([hover, role, focus, dismiss])

  return (
    <>
      <TooltipWrapper
        ref={refs.setReference}
        {...getReferenceProps()}
      >
        {children}
      </TooltipWrapper>
      {isOpen && (
        <FloatingPortal>
          <TooltipContent
            ref={refs.setFloating}
            style={floatingStyles}
            {...getFloatingProps()}
          >
            {content}",            <TooltipArrow,"              ref={arrowRef}
              context={context}
            />
          </TooltipContent>
        </FloatingPortal>
      )}
    </>
  )
}

export default Tooltip
",{placement}
"import { AnimatePresence } from 'framer-motion'
import { useEffect, useRef } from 'react'
import type { AriaDialogProps } from 'react-aria'
import { useDialog } from 'react-aria'
import { useTranslation } from 'react-i18next'

import Button from '../button/Button'
import {
  DialogBackdrop,
  DialogContent,
  DialogFooter,
  DialogTitle,
  DialogWrapper,
} from './DialogElements'

export interface IDialog extends AriaDialogProps {
  title?: JSX.Element | string
  children: JSX.Element
  footer?: JSX.Element
  isVisible?: boolean
  footerDefaultButtonTitle?: string
  onClose?: (payload?: any) => void
}

const Dialog = ({
  title,
  children,
  footer,
  isVisible,
  footerDefaultButtonTitle = 'Common:ui.close',
  onClose,
  ...props
}: IDialog) => {
  const { t } = useTranslation()

  const ref = useRef<HTMLDivElement>(null)
  const { dialogProps, titleProps } = useDialog(props, ref)

  useEffect(() => {
    if (isVisible) {
      document.body.style.overflow = 'hidden'
    } else {
      document.body.style.overflow = 'unset'
    }
  }, [isVisible])

  const handleClose = () => {
    onClose?.()
  }

  return (
    <AnimatePresence>
      {isVisible && (
        <DialogBackdrop>
          <DialogWrapper
            ref={ref}
            {...dialogProps}
          >
            <DialogTitle>
              <h2 {...titleProps}>{title}</h2>
            </DialogTitle>
            <DialogContent>{children}</DialogContent>
            <DialogFooter>
              {footer}
              <Button
                onClick={handleClose}",                label={t(footerDefaultButtonTitle)},"              />
            </DialogFooter>
          </DialogWrapper>
        </DialogBackdrop>
      )}
    </AnimatePresence>
  )
}

export default Dialog
",>
"import { Link } from '@tanstack/react-router'
import { useTranslation } from 'react-i18next'
import { FaFacebookSquare } from 'react-icons/fa'
import { FaLinkedin } from 'react-icons/fa6'

import logoText from '@assets/logo_text.webp'
import { FooterBlock, FooterCopyright, FooterWrapper } from './FooterElements'
import { Wave } from './Wave'

const Footer = () => {
  const { t } = useTranslation()
  const version = import.meta.env.VITE_APP_VERSION

  return (
    <FooterWrapper>
      <Wave />
      <FooterBlock>
        <div className='col1'>
          <img
            src={logoText}
            alt='logoFooter'
          />
          <p>Example</p>
          <p>
            
            <br />
            
          </p>
          <p>
            VAT-ID (NIP):
            <br />
            REGON:
            <br />
            KRS:
          </p>
        </div>

        <div className='col2'>
          <h2>{t('footer.followUs')}</h2>
          <a
            href=''
            target='_blank'
            rel='noreferrer noopener'
          >",            <FaFacebookSquare />,"          </a>
          <a
            href=''
            target='_blank'
            rel='noreferrer noopener'
          >
            <FaLinkedin />
          </a>
        </div>

        <div className='col3'>
          <a href='tel:'>{t('footer.phoneNumber')}</a>
          <a href='mailto:'>{t('footer.email')}</a>
          <Link>{t('footer.terms')}</Link>
          <Link>{t('footer.sitemap')}</Link>
        </div>
      </FooterBlock>
      {version && <FooterCopyright>ver. {version}</FooterCopyright>}
      <FooterCopyright>© 2024 All right reserved.</FooterCopyright>
    </FooterWrapper>
  )
}

export default Footer
",>
"import { ReactNode, useCallback, useContext, useEffect, useState } from 'react'

import AuthContext from './AuthContext'
import { router } from './main'
import { ICustomer } from './shared/model/customers'
import { AUTH_LS } from './config'
import useAsyncState from './shared/utils/useAsyncState'

export interface IAuth {
  email: string
  sessionToken: string
  refreshToken: string
}

export const getStoredUser = () => {
  const _user = localStorage.getItem(AUTH_LS)
  if (_user) {
    return JSON.parse(_user) as IAuth
  }
  return null
}

export const setStoredUser = (user: IAuth | null) => {
  if (user) {
    localStorage.setItem(AUTH_LS, JSON.stringify(user))
  } else {
    localStorage.removeItem(AUTH_LS)
  }
}

export const AuthProvider = ({ children }: { children: ReactNode }) => {
  const [user, setUser] = useAsyncState<IAuth | null>(getStoredUser())
  const [decodedUser, setDecodedUser] = useState<ICustomer | undefined>()
  const isAuthenticated = !!user?.sessionToken

  const logout = useCallback(() => {
    setStoredUser(null)
    setUser(null)
    router.invalidate().finally(() => {
      router.navigate({ to: '/login' })
    })
  }, [])

  const login = useCallback(async (_user: IAuth) => {
    await setUser(_user)
    setStoredUser(_user)
  }, [])

  const updateUser = useCallback((_user: ICustomer) => {
    setDecodedUser(_user as ICustomer)
  }, [])

  useEffect(() => {
    const _user = getStoredUser()
    if (_user) {
      setUser(_user)
    }
  }, [])

  return (",    <AuthContext.Provider,"      value={{
        isAuthenticated: isAuthenticated,
        user,
        login,
        logout,
        updateUser,
        decodedUser,
      }}
    >
      {children}
    </AuthContext.Provider>
  )
}

export const useAuth = () => {
  const context = useContext(AuthContext)
  if (!context) {
    throw new Error('useAuth must be used within an AuthProvider')
  }
  return context
}
",{
"import { useEffect, useState } from 'react'

import { commonTheme } from '../theme/commonTheme'

const useDimBreakpoints = () => {
  const [matches, setMatches] = useState({
    xs: false,
    s: false,
    md: false,
    lg: false,
    xl: false,
    xxl: false,
    xxxl: false,
  })

  useEffect(() => {
    const breakpoints = commonTheme.breakpoint
    const mediaQueries = {
      xs: window.matchMedia(`(max-width: ${breakpoints.xs})`),
      s: window.matchMedia(`(max-width: ${breakpoints.s})`),
      md: window.matchMedia(`(max-width: ${breakpoints.md})`),
      lg: window.matchMedia(`(max-width: ${breakpoints.lg})`),
      xl: window.matchMedia(`(max-width: ${breakpoints.xl})`),
      xxl: window.matchMedia(`(max-width: ${breakpoints.xxl})`),
      xxxl: window.matchMedia(`(max-width: ${breakpoints.xxxl})`),
    }

    const handleMediaQueryChange = () => {
      setMatches({
        xs: mediaQueries.xs.matches,
        s: mediaQueries.s.matches,
        md: mediaQueries.md.matches,
        lg: mediaQueries.lg.matches,
        xl: mediaQueries.xl.matches,
        xxl: mediaQueries.xxl.matches,
        xxxl: mediaQueries.xxxl.matches,
      })
    }

    handleMediaQueryChange()

    for (const mq of Object.values(mediaQueries)) {
      if (mq.addEventListener) {
        mq.addEventListener('change', handleMediaQueryChange)
      } else {
        mq.addListener(handleMediaQueryChange)
      }
    }

    return () => {
      for (const mq of Object.values(mediaQueries)) {
        if (mq.removeEventListener) {
          mq.removeEventListener('change', handleMediaQueryChange)
        } else {
          mq.removeListener(handleMediaQueryChange)
        }
      }
    }
  }, [])

  return matches
}
",export default useDimBreakpoints,,const useDimBreakpoints = () => {
"import { Outlet } from '@tanstack/react-router'
import { useCallback, useEffect, useState } from 'react'

import Footer from './Footer'
import { NavbarMobile } from './MobileNavbar/NavbarMobile'
import NavbarMobileLogo from './MobileNavbar/NavbarMobileLogo'
import Navbar from './Navbar'
import { useGetUserProfile } from '@/shared/api/customersQuery'
import { useAuth } from '@/auth'

const Layout = () => {
  const { updateUser } = useAuth()
  const { data: customer, isError, isLoading } = useGetUserProfile()
  const [width, setWidth] = useState<number>(window.innerWidth)

  const handleWindowSizeChange = useCallback(() => {
    setWidth(window.innerWidth)
  }, [])

  useEffect(() => {
    window.addEventListener('resize', handleWindowSizeChange)
    return () => {
      window.removeEventListener('resize', handleWindowSizeChange)
    }
  }, [handleWindowSizeChange])

  const isMobile = width <= 1024

  useEffect(() => {
    if (!isLoading && !isError && customer) {
      updateUser(customer)
    }
  }, [customer])

  return (
    <>
      {isMobile && <NavbarMobileLogo />}
      {!isMobile ?
        <Navbar />
      : <NavbarMobile />}
      <Outlet />
      <Footer />
    </>
  )
}
",export default Layout,,const layout = layout || {
"import { useNavigate } from '@tanstack/react-router'
import { useTranslation } from 'react-i18next'
import { AiFillProduct } from 'react-icons/ai'
import { CgProfile } from 'react-icons/cg'
import { GrLicense } from 'react-icons/gr'

import { useAuth } from '@/auth'
import { router } from '@/main'
import { PageWrapper } from '@/shared/components/wrapper/PageWrapper'

import { HomeWrapper, MyProductsBlock, ProductsBlock, ProfileBlock } from './homeElements'

const Home = () => {
  const { t } = useTranslation()
  const { decodedUser } = useAuth()
  const navigate = useNavigate({ from: '/' })

  return (
    <PageWrapper>
      <h1 className='page-wrapper-gradient'>
        {t('home.title')}
        {decodedUser?.firstName && ` ${decodedUser?.firstName}`}!
      </h1>
      <HomeWrapper>
        <ProductsBlock
          whileTap={{ scale: 0.99 }}
          whileHover={{ scale: 1.01 }}
          onClick={() => navigate({ to: '/products' })}
          onHoverStart={() => router.preloadRoute({ to: '/products' })}
        >
          <div>
            <h2>{t('home.products.title')}</h2>
            <p>{t('home.products.desc')}</p>
          </div>
          <div className='home home-icon'>
            <AiFillProduct />
          </div>
        </ProductsBlock>
        <MyProductsBlock
          whileTap={{ scale: 0.99 }}
          whileHover={{ scale: 1.01 }}
          onClick={() => navigate({ to: '/myProducts' })}
          onHoverStart={() => router.preloadRoute({ to: '/myProducts' })}
        >
          <div>
            <h2>{t('home.myProducts.title')}</h2>
            <p>{t('home.myProducts.desc')}</p>
          </div>
          <div className='home home-icon'>
            <GrLicense />
          </div>
        </MyProductsBlock>
        <ProfileBlock
          whileTap={{ scale: 0.99 }}
          whileHover={{ scale: 1.01 }}
          onClick={() => navigate({ to: '/profile' })}
          onHoverStart={() => router.preloadRoute({ to: '/profile' })}
        >
          <div className='home home-bento-vertical'>
            <h2>",              {t('home.profile.title')},"              {decodedUser?.companyName &&
                decodedUser?.customerTag &&
                `: ${decodedUser?.companyName} - ${decodedUser?.customerTag}`}
            </h2>
            <p>{t('home.profile.desc')}</p>
          </div>
          <div className='home home-icon home-bento-vertical'>
            <CgProfile />
          </div>
        </ProfileBlock>
      </HomeWrapper>
    </PageWrapper>
  )
}

export default Home
",</h2>
"import {
  arrow,
  flip,
  FloatingPortal,
  shift,
  useDismiss,
  useFloating,
  useFocus,
  useHover,
  useInteractions,
  useRole,
} from '@floating-ui/react'
import { useRef, useState } from 'react'

import { TooltipArrow, TooltipContent, TooltipWrapper } from './tooltipElements'

export interface ITooltip {
  children: JSX.Element[] | JSX.Element
  content: string
  placement?:
    | 'top'
    | 'right'
    | 'bottom'
    | 'left'
    | 'top-start'
    | 'top-end'
    | 'right-start'
    | 'right-end'
    | 'bottom-start'
    | 'bottom-end'
    | 'left-start'
    | 'left-end'
}
","const Tooltip = ({ children, content, placement }: ITooltip) => {","  const arrowRef = useRef(null)
  const [isOpen, setIsOpen] = useState(false)

  const { refs, floatingStyles, context } = useFloating({
    open: isOpen,
    onOpenChange: setIsOpen,
    middleware: [
      arrow({
        element: arrowRef,
      }),
      flip(),
      shift(),
    ],
    placement,
  })

  const hover = useHover(context, {
    delay: {
      open: 200,
      close: 100,
    },
  })

  const role = useRole(context, {
    role: 'tooltip',
  })

  const focus = useFocus(context)

  const dismiss = useDismiss(context)

  const { getReferenceProps, getFloatingProps } = useInteractions([hover, role, focus, dismiss])

  return (
    <>
      <TooltipWrapper
        ref={refs.setReference}
        {...getReferenceProps()}
      >
        {children}
      </TooltipWrapper>
      {isOpen && (
        <FloatingPortal>
          <TooltipContent
            ref={refs.setFloating}
            style={floatingStyles}
            {...getFloatingProps()}
          >
            {content}
            <TooltipArrow
              ref={arrowRef}
              context={context}
            />
          </TooltipContent>
        </FloatingPortal>
      )}
    </>
  )
}

export default Tooltip
","{ isOpen, setIsOpen } from 'isOpen'"
"import { AsYouType } from 'libphonenumber-js'
import { ChangeEvent, useRef } from 'react'
import type { AriaTextFieldProps } from 'react-aria'
import { useTextField } from 'react-aria'

import { Size } from '@/shared/model/common'

import { Input, InputError, InputLabel, InputLabelFloat, InputWrapper } from './InputText.styled'

type InputType = 'text' | 'password' | 'email' | 'number' | 'tel'

interface InputTextProps extends AriaTextFieldProps {
  // eslint-disable-next-line @typescript-eslint/no-explicit-any
  onClick?: (e: any) => void
  error?: string
  size?: Size
  type?: InputType
  fullWidth?: boolean
  floatLabel?: boolean
}

const InputText = (props: InputTextProps) => {
  const ref = useRef(null)
  const { labelProps, inputProps } = useTextField(props, ref)

  const {
    id,
    label,
    type,
    onChange,
    size = 'md',
    fullWidth = false,
    isRequired = false,
    floatLabel = false,
    isDisabled = false,
    placeholder,
    error,
  } = props

  const handleChange = (event: ChangeEvent<HTMLInputElement>) => {
    if (type === 'tel') {
      const formattedPhoneNumber = new AsYouType().input(event.target.value)
      onChange?.(formattedPhoneNumber)
    } else {
      onChange?.(event.target.value)
    }
  }

  return (
    <InputWrapper
      $fullWidth={fullWidth}",      $floatLabel={floatLabel},"      $size={size}
    >
      {label && !floatLabel && (
        <InputLabel
          htmlFor={id}
          $size={size}
          {...labelProps}
        >
          {label}
          {isRequired && '*'}
        </InputLabel>
      )}
      <Input
        ref={ref}
        aria-labelledby={id}
        {...inputProps}
        placeholder={floatLabel ? '' : placeholder}
        onChange={handleChange}
        $disabled={isDisabled}
        $floatLabel={floatLabel}
        $size={size}
      />
      {label && floatLabel && (
        <InputLabelFloat
          htmlFor={id}
          $size={size}
        >
          {label}
          {isRequired && '*'}
        </InputLabelFloat>
      )}
      <InputError>{error}</InputError>
    </InputWrapper>
  )
}

export default InputText
",>
"import { forwardRef, useImperativeHandle, useState } from 'react'
import { useTranslation } from 'react-i18next'

import Button from '../button/Button'
import Dialog from './Dialog'

export interface IConfirmationDialogRef {
  open: (data?: any) => void
}

export interface IConfirmationDialog {
  title?: string
  footerDefaultCancelButtonTitle?: string
  footerDefaultConfirmButtonTitle?: string
  onConfirm?: (payload?: any) => void
  onCancel?: (payload?: any) => void
  children?: JSX.Element
}

const ConfirmationDialog = forwardRef<IConfirmationDialogRef, IConfirmationDialog>(
  (
    {
      title,
      footerDefaultCancelButtonTitle = 'Common:ui.close',
      footerDefaultConfirmButtonTitle = 'Common:ui.confirm',
      onConfirm,
      onCancel,
      children,
    },
    ref,
  ) => {
    const { t } = useTranslation()
    const [isOpen, setOpen] = useState<boolean>(false)
    const [payload, setPayload] = useState<any>(undefined)

    useImperativeHandle(ref, () => ({
      open(data?: any) {
        setPayload(data)
        setOpen(true)
      },
    }))
",    const handleConfirm = () => {,"      setOpen(false)
      onConfirm?.(payload)
    }

    const handleCancel = () => {
      setOpen(false)
      onCancel?.(payload)
    }

    return (
      <Dialog
        isVisible={isOpen}
        footerDefaultButtonTitle={footerDefaultCancelButtonTitle}
        title={title}
        footer={
          <>
            <Button
              onClick={handleConfirm}
              label={t(footerDefaultConfirmButtonTitle)}
            />
          </>
        }
        onClose={handleCancel}
      >
        {children ?? <></>}
      </Dialog>
    )
  },
)

export default ConfirmationDialog

ConfirmationDialog.displayName = 'Confirmation dialog'
",}
"/* eslint-disable camelcase */
/* eslint-disable sonarjs/no-duplicate-string */
import { t } from 'i18next'
import { z } from 'zod'

export const companyNameValidator = z.string().min(1, t('common.validator.requiredField'))

export const companyTagValidator = z
  .string()
  .min(1, t('common.validator.requiredField'))
  .min(3, t('profile.validator.minCompanyTag'))

export const companyVatIdValidator = z
  .string()
  .min(1, t('common.validator.requiredField'))
  .max(10, t('profile.validator.maxVatId'))

export const firstNameValidator = z.string().min(1, t('common.validator.requiredField'))

export const lastNameValidator = z.string().min(1, t('common.validator.requiredField'))

export const emailValidator = z.string().email(t('common.validator.validateEmail'))

export const phoneNumberValidator = z
  .string()
  .regex(
    new RegExp(/^\+\d{1,3}\s?\d{1,4}[\s.-]?\d{3}[\s.-]?\d{3,4}$/),
    t('common.validator.validatePhone'),
  )

export const passwordValidator = z.string().min(8, t('profile.validator.minPasswd'))

export const confirmPasswordValidator = z.string()

export const termsValidator = z.boolean({
  required_error: t('profile.validator.requiredTerms'),
})

export const registrationSchema = z
  .object({
    companyName: companyNameValidator,
    companyTag: companyTagValidator,
    companyVatId: companyVatIdValidator,
    firstName: firstNameValidator,
    lastName: lastNameValidator,
    email: emailValidator,
    phoneNumber: phoneNumberValidator,
    password: passwordValidator,","    confirmPassword: confirmPasswordValidator,","    terms: termsValidator,
  })
  .refine((data) => data.password === data.confirmPassword, {
    path: ['confirmPassword'],
    message: t('profile.validator.passwordsDoNotMatch'),
  })
","passwordValidator,"
"import { forwardRef, useImperativeHandle, useState } from 'react'
import { useTranslation } from 'react-i18next'

import Button from '../button/Button'
import Dialog from './Dialog'

export interface IConfirmationDialogRef {
  open: (data?: any) => void
}

export interface IConfirmationDialog {
  title?: string
  footerDefaultCancelButtonTitle?: string
  footerDefaultConfirmButtonTitle?: string
  onConfirm?: (payload?: any) => void
  onCancel?: (payload?: any) => void
  children?: JSX.Element
}

const ConfirmationDialog = forwardRef<IConfirmationDialogRef, IConfirmationDialog>(
  (
    {
      title,
      footerDefaultCancelButtonTitle = 'Common:ui.close',
      footerDefaultConfirmButtonTitle = 'Common:ui.confirm',
      onConfirm,
      onCancel,
      children,
    },
    ref,
  ) => {
    const { t } = useTranslation()
    const [isOpen, setOpen] = useState<boolean>(false)
    const [payload, setPayload] = useState<any>(undefined)

    useImperativeHandle(ref, () => ({
      open(data?: any) {
        setPayload(data)
        setOpen(true)
      },
    }))
",    const handleConfirm = () => {,"      setOpen(false)
      onConfirm?.(payload)
    }

    const handleCancel = () => {
      setOpen(false)
      onCancel?.(payload)
    }

    return (
      <Dialog
        isVisible={isOpen}
        footerDefaultButtonTitle={footerDefaultCancelButtonTitle}
        title={title}
        footer={
          <>
            <Button
              onClick={handleConfirm}
              label={t(footerDefaultConfirmButtonTitle)}
            />
          </>
        }
        onClose={handleCancel}
      >
        {children ?? <></>}
      </Dialog>
    )
  },
)

export default ConfirmationDialog

ConfirmationDialog.displayName = 'Confirmation dialog'
",}
